filename,company,revenue_model,document_type,sentences,ADS_raw,ADS_weighted
entry01_anthropic_ceo_essay.txt,Anthropic,Personal AI Subscription,CEO Essay,306,2.61,2.61
entry01_anthropic_governance_document.txt,Anthropic,Personal AI Subscription,Governance Document,38,10.53,8.77
entry01_anthropic_legal_aup.txt,Anthropic,Personal AI Subscription,Legal / AUP,30,0.0,0.0
entry01_anthropic_legal_tos.txt,Anthropic,Personal AI Subscription,Legal / AUP,30,0.0,0.0
entry01_anthropic_marketing_launch_blo.txt,Anthropic,Personal AI Subscription,Marketing / Launch Blog,73,1.37,0.46
entry01_anthropic_model_card.txt,Anthropic,Personal AI Subscription,Model Card,57,0.0,0.0
entry01_anthropic_research_paper.txt,Anthropic,Personal AI Subscription,Research Paper,68,19.12,19.12
entry02_anthropic_ceo_essay.txt,Anthropic,Personal AI Subscription,CEO Essay,306,2.61,2.61
entry02_anthropic_governance_document.txt,Anthropic,Personal AI Subscription,Governance Document,38,10.53,8.77
entry02_anthropic_marketing_lau2.txt,Anthropic,Personal AI Subscription,Marketing / Launch Blog,49,0.0,0.0
entry02_anthropic_marketing_launch_blo.txt,Anthropic,Personal AI Subscription,Marketing / Launch Blog,42,0.0,0.0
entry02_anthropic_model_card.txt,Anthropic,Personal AI Subscription,Model Card,108,0.0,0.0
entry02_anthropic_research_paper.txt,Anthropic,Personal AI Subscription,Research / Technical Blog,60,0.0,0.0
entry02_anthropic_research_technical_b.txt,Anthropic,Personal AI Subscription,Research / Technical Blog,60,0.0,0.0
entry03_openai_ceo_essay.txt,OpenAI,Consumer Subscription,CEO Essay,73,2.74,2.74
entry03_openai_governance_document.txt,OpenAI,Consumer Subscription,Governance Document,70,0.0,0.0
entry03_openai_legal_tos.txt,OpenAI,Consumer Subscription,Legal / ToS,162,0.0,0.0
entry03_openai_marketing_launch_blo.txt,OpenAI,Consumer Subscription,Marketing / Launch Blog,29,3.45,3.45
entry03_openai_model_card.txt,OpenAI,Consumer Subscription,Model Card,289,0.69,0.69
entry03_openai_research_paper.txt,OpenAI,Consumer Subscription,Research Paper,67,1.49,1.49
entry04_openai_ceo_essay.txt,OpenAI,Consumer Subscription,CEO Essay,73,2.74,2.74
entry04_openai_governance_document.txt,OpenAI,Consumer Subscription,Governance Document,70,0.0,0.0
entry04_openai_marketing_launch_blo.txt,OpenAI,Consumer Subscription,Marketing / Launch Blog,124,0.81,0.81
entry04_openai_model_card.txt,OpenAI,Consumer Subscription,Model Card,324,1.23,1.23
entry04_openai_research_paper.txt,OpenAI,Consumer Subscription,Research Paper,31,0.0,0.0
entry05_openai_governance_document.txt,OpenAI,Consumer Subscription,Governance Document,331,0.91,0.91
entry05_openai_marketing_lau3.txt,OpenAI,Consumer Subscription,Marketing / Launch Blog,100,1.0,1.0
entry05_openai_marketing_launch_blo.txt,OpenAI,Consumer Subscription,Marketing / Launch Blog,148,1.35,1.35
entry05_openai_model_card.txt,OpenAI,Consumer Subscription,Model Card,14,0.0,0.0
entry05_openai_research_paper.txt,OpenAI,Consumer Subscription,Research Paper,67,1.49,1.49
entry06_google_deepmind_ceo_essay.txt,Google DeepMind,Consumer Subscription,CEO Essay,31,0.0,0.0
entry06_google_deepmind_governance_document.txt,Google DeepMind,Consumer Subscription,Governance Document,24,0.0,0.0
entry06_google_deepmind_marketing_launch_blo.txt,Google DeepMind,Consumer Subscription,Marketing / Launch Blog,105,1.9,1.9
entry06_google_deepmind_research_paper.txt,Google DeepMind,Consumer Subscription,Research Paper,33,0.0,0.0
entry07_meta_ceo_essay.txt,Meta,Advertising,CEO Essay,99,0.0,0.0
entry07_meta_governance_document.txt,Meta,Advertising,Governance Document,25,0.0,0.0
entry07_meta_marketing_launch_blo.txt,Meta,Advertising,Marketing / Launch Blog,57,0.0,0.0
entry07_meta_research_paper.txt,Meta,Advertising,Research Paper,35,0.0,0.0
entry08_xai_governance_document.txt,xAI,Personal AI Subscription,Governance Document,141,0.71,0.71
entry08_xai_legal_aup.txt,xAI,Personal AI Subscription,Legal / AUP,114,0.0,0.0
entry08_xai_marketing_launch_blo.txt,xAI,Personal AI Subscription,Marketing / Launch Blog,209,0.0,0.0
entry08_xai_model_card.txt,xAI,Personal AI Subscription,Model Card,172,0.58,0.58
entry09_mistral_ai_governance_document.txt,Mistral AI,Nonprofit / Open Source,Governance Document,41,0.0,0.0
entry09_mistral_ai_marketing_launch_blo.txt,Mistral AI,Nonprofit / Open Source,Marketing / Launch Blog,43,2.33,2.33
entry10_aleph_alpha_marketing_launch_blo.txt,Aleph Alpha,Enterprise B2B,Marketing / Launch Blog,20,0.0,0.0
entry10_aleph_alpha_research_paper.txt,Aleph Alpha,Enterprise B2B,Research Paper,32,0.0,0.0
entry11_deepseek_legal_tos.txt,DeepSeek,Consumer Subscription,Legal / ToS,136,0.0,0.0
entry11_deepseek_marketing_launch_blo.txt,DeepSeek,Consumer Subscription,Marketing / Launch Blog,1,0.0,0.0
entry11_deepseek_research_paper.txt,DeepSeek,Consumer Subscription,Research Paper,37,0.0,0.0
entry12_inflection_ceo_essay.txt,Inflection,Personal AI Subscription,CEO Essay,35,0.0,0.0
entry12_inflection_marketing_launch_blo.txt,Inflection,Personal AI Subscription,Marketing / Launch Blog,39,7.69,7.69
entry13_cohere_marketing_launch_blo.txt,Cohere,Enterprise B2B,Marketing / Launch Blog,81,0.0,0.0
entry13_cohere_model_card.txt,Cohere,Enterprise B2B,Model Card,117,0.85,0.85
entry14_ai21_labs_marketing_launch_blo.txt,AI21 Labs,Enterprise B2B,Marketing / Launch Blog,39,0.0,0.0
entry14_ai21_labs_research_paper.txt,AI21 Labs,Enterprise B2B,Research Paper,33,0.0,0.0
entry15_stability_ai_governance_document.txt,Stability AI,Nonprofit / Open Source,Governance Document,76,0.0,0.0
entry15_stability_ai_marketing_launch_blo.txt,Stability AI,Nonprofit / Open Source,Marketing / Launch Blog,34,0.0,0.0
entry15_stability_ai_model_card.txt,Stability AI,Nonprofit / Open Source,Model Card,23,0.0,0.0
entry16_tii_marketing_launch_blo.txt,TII,Nonprofit / Open Source,Marketing / Launch Blog,99,0.0,0.0
entry17_eleutherai_marketing_launch_blo.txt,EleutherAI,Nonprofit / Open Source,Marketing / Launch Blog,13,0.0,0.0
